"","F1","F2","F3"
"x1",-0.321309728962016,0.681553229492211,-0.0934819780493127
"x2",-0.308436555751119,0.981650354898083,-0.512628074278498
"x3",-0.374687498930417,0.827367747962683,-0.365463229873414
"x4",-0.196429259634868,-0.612287757137134,1.18457423995391
"x5",-0.0241366533106842,-0.736425928163167,1.09669071178385
"x6",-0.0361759362808385,0.900679062519763,-0.49077927307456
"x7",-0.296960275121879,-0.841901367047799,1.17767166875223
"x8",-0.303461453964562,0.709321179155705,-0.217388046119232
"x9",0.00561546298688156,1.40586676014657,-0.764492235852802
"x10",-0.159238585624692,1.33311159549074,-0.777507653071828
"x11",-0.101206541480067,1.02340232595068,-0.348661457370623
"x12",-0.0776439901382307,1.34071164361409,-0.716911680469516
"x13",-0.464637527951615,-0.749961679068136,1.34881024766553
"x14",-0.394603639314758,-0.829250594223538,1.42796101344793
"x15",-0.0100316645090616,0.768329324213954,0.00751158562723059
"x16",0.0162251182013886,1.33021602993221,-0.569084041334343
"x17",-0.217687773269904,-0.164403213497611,0.910103214027995
"x18",0.0780310874878844,1.53416396817036,-0.827158164100569
"x19",-0.0319254024699695,1.2597571467133,-0.54702698066636
"x20",0.121135454630961,1.56856215409217,-0.921053307227062
"x21",-0.0371735828194253,-0.0129017546468007,0.889865272254917
"x22",0.068884943075164,0.0205436322313275,0.835745768821513
"x23",0.204260811937007,1.5792641783999,-1.03608009431669
"x24",0.0997402856294898,-0.178400931640692,0.984745745241791
"x25",0.172466059620207,1.16581333835475,-0.511796812005863
"x26",0.536222298836234,-0.862712111842193,0.890288948235805
"x27",0.582759756905108,-0.740312257849258,0.827656403129958
"x28",0.606856168119089,-0.10549653953985,-0.00920869374378958
"x29",0.192585847298907,1.80374605174495,-1.0831190259297
"x30",0.172026440622811,1.90724791087088,-1.23792848784737
"x31",0.688576939083484,-0.153696604297118,0.0450566213382177
"x32",0.963355427899661,1.43267917365906,-1.49422347715479
"x33",0.745027201207225,-0.350200948900702,0.363312287550885
"x34",0.803001821351103,-0.3425098853861,0.415516670088477
"x35",0.871450844245662,-0.216223148215817,0.269718426281524
"x36",0.88259647849654,0.50045379483893,-0.553983874330178
"x37",0.901825663410198,0.245086126297131,-0.276709888500527
"x38",0.630515943839564,-0.0462146745185692,-0.20397856675824
"x39",0.654735792194935,-0.139920821863318,-0.0776752097644915
"x40",0.840786371969832,0.151220297440016,-0.244697436917774
"x41",0.706140303800366,0.327368473456676,-0.510460308698443
"x42",0.810889462303823,-0.210479178109058,0.194850676796358
"x43",0.619723505777177,-0.321100066791653,0.24057256525791
"x44",0.633725910300365,-0.329068234194959,0.308389351963706
"x45",0.611731529944764,-0.771234609327393,0.821960132093376
"x46",0.698613421982321,-0.676696767143997,0.728843606354426
"x47",0.512886246680729,-0.867392188842553,0.86800141179981
"x48",0.0168513444542034,1.43158882255106,-1.1021626086388
"x49",-0.0781317229582638,1.33596179528523,-1.07119301245227
"x50",0.00226534025827472,1.42578495588944,-0.94461614225157
"x51",-0.0628057163436946,-0.0150815891412403,0.681269968219147
"x52",-0.234419380959534,1.06663511914564,-0.718869265700778
"x53",0.936017599522239,0.243037752039929,-0.235123699700522
"x54",0.792307288819746,-0.325716818414116,0.325244653271417
"x55",0.653660862984361,-0.42043630125769,0.434637249630047
"x56",0.954903070539513,0.280958826783606,-0.264534025652082
"x57",0.719868604497882,0.214606021054207,-0.286062162494485
"x58",0.844463142475847,0.0513206907060797,-0.18997001669184
"x59",0.737550043280863,-0.185227925963315,0.0110571373607638
"x60",0.875614620645541,-0.0593632136560492,-0.00152747281134363
