"","WLS2","WLS6","WLS1","WLS9","WLS10","WLS4","WLS3","WLS5","WLS8","WLS7"
"x37",0.014804652544186,-0.333049164770704,0.228077741468431,0.32419146245392,0.126752075800614,-0.0919822074199846,0.0544379637600989,-0.0243773667165193,0.050667173219578,0.136035950623471
"x38",-0.0683958450537778,-0.183213886591396,0.00562691140251204,0.232789875512246,0.433759838199692,0.0144782648758472,-0.102860515770065,-0.0713754231158582,0.0927264051309945,0.129444009649888
"x39",-0.126045952559871,-0.0901274244282176,0.0725240836332801,0.296609758445692,0.351676658608452,-0.075017546792475,-0.0785171997104993,-0.0145113477853504,0.111368532417784,0.0759773631432412
"x40",-0.110281076814262,-0.204881359465653,0.204836210797703,0.382628337904387,0.172108698718088,-0.0849629286668601,0.02504931639994,-0.0249939910630452,0.0881071750197164,0.0878947963005016
"x41",0.0234889681236527,-0.295628686085286,0.181840399993904,0.287814503822444,0.165887476173083,0.0710649518623189,0.00417191882270113,-0.213112256550026,0.105315019226332,0.186201667485244
"x42",0.0875438501620411,-0.488002193391558,0.198056011757843,0.244690995098363,0.166027297682389,0.0335183596931644,-0.053168412393752,-0.0483470068425622,0.117420216153623,0.123479306780901
"x43",-0.00886276963911746,0.074918706949498,0.0432449425028432,0.0565308874202957,0.741613277954158,0.0375828852928412,0.0627663658118252,-0.0663956686955565,-0.158839848876095,0.0357462076472066
"x44",-0.0247846525569011,-0.302232799256326,0.348506648824287,-0.0219732470707679,0.249680281127297,0.102570021189999,-0.00251020088717518,-0.0593991548863256,0.0106854314661872,0.0422773081399387
"x45",0.0522758368559022,-0.048999599117648,0.0553654553187902,0.000370506522639556,0.771926175263332,-0.0205349417423969,-0.0715486361530526,0.0362649761635416,-0.0402506147476756,-0.000932134956960567
"x46",0.0673628474740516,-0.157016457285974,0.140642430699775,0.0801940481696787,0.60920055409775,-0.00989862905641094,-0.078574590400195,0.00914239667539627,0.00959550161205157,-0.00876444991062775
"x47",0.0334675280987692,-0.0173831379390461,0.568231781872915,-0.0515363154560258,0.162518898613758,0.0113818476223111,-0.34260023700881,0.0503098455149246,-0.0332271830395148,0.0484074170650694
"x48",0.0745619191469442,0.00375912441450116,0.118743935414289,-0.123002333039468,-0.164355696026278,0.0176463918998593,-0.0638945173229831,0.0290856350029602,0.638456782622045,-0.0447762201754099
"x49",0.0294269038565489,0.0619262250376924,0.125130391848343,-0.0745984985501424,-0.376808453704593,0.00260302147951158,-0.143107002733597,0.0636481557377564,0.602577157753351,-0.0325897186834251
"x50",0.0312562507335831,0.0284566156637443,-0.280766395311277,-0.0421998087448944,0.141574218715832,0.0143736019004083,0.3888428848257,0.0552900982698293,0.537350452077866,-0.0550722591793285
"x51",-0.0575441540920822,-0.00431556726378055,-0.276329681425025,-0.0117384870785718,0.0927635391393562,0.0323454400027751,0.552085194958095,0.0474543084146492,0.409129316689304,-0.0402469257134642
"x52",0.117392140771281,0.356678029121948,-0.29390364902699,0.0321595056877683,0.0521274563188573,0.0173781882247697,-0.0221882119613123,0.0521880801200019,0.385620491352383,0.00883255680005855
"x53",-0.12197806285025,-0.00624800530203675,0.474177724699001,0.14736809657137,0.184513554875403,-0.245769338888047,0.116293734174344,-0.0453537624692231,0.00296920241066738,0.0132272429436088
"x54",-0.143096220094857,-0.218056210894705,0.482032657345627,0.141852786076593,0.154199198483514,-0.0746998940962446,0.0795517844982381,0.0123143246138394,-0.00412464070358792,-0.0277033755627706
"x55",-0.0248935727430829,0.022997093148703,0.706779177662528,-0.0424109064777062,0.075053300651039,-0.0585603183690431,-0.163797675026951,-0.0206670174340066,-0.03779858511361,0.00128329326951833
"x56",-0.0766581684115601,-0.0763187412975769,0.563791503612531,0.0953542088996907,0.197505858733765,-0.187341624799976,0.0786439763155029,-0.0468415650019837,0.00300595623899863,-0.00255573473016529
"x57",-0.0899613741349839,0.0975309170738208,0.316427432065971,0.0673640447157394,0.472638303932922,-0.0822535696513264,0.10720517741042,-0.063711989317186,-0.0617547271935315,-0.0346824054418582
"x58",-0.167280082834849,-0.0600313161299282,0.35911102429122,0.274325460223872,0.183050324542891,-0.179732938303765,0.114886948371898,-0.103424992864708,-0.0312654509038337,0.0121207018469322
"x59",-0.228044664262581,0.0264960216508624,0.291208931201957,0.35674741414248,0.123967472893199,-0.105884406607322,-0.0016137284045449,-0.10200803478737,-0.00366374841373572,-0.0173326073903548
"x60",-0.166813320231526,-0.0415645596406997,0.363313850331409,0.314350803185799,0.162616470706885,-0.187242054003792,0.139176255195291,-0.122993454342475,0.00747877497666492,-0.0182825586185332
