"","MR1","MR2","MR3"
"1",-0.509956922068124,0.332367942199098,0.149092346678666
"2",-0.504407692987697,0.362522731554215,0.0422987251114501
"3",-0.556264750806346,0.388732946791702,0.00338673780946216
"4",-0.141840718962926,0.325600924663616,0.0236175662745639
"5",0.0505866475162334,0.06524225760511,0.160772247605667
"6",-0.0524197361072281,0.335991100768704,0.116048202748851
"7",-0.19376631048246,0.0893561012902134,0.0512183437399027
"8",-0.41032893050144,0.390136217469005,0.0044183853956227
"9",-0.199858381911995,0.4385541926296,0.136480656327075
"10",-0.360156996020057,0.357203360953153,0.186683593254931
"11",-0.221830904935158,0.576724730036779,0.105868340137586
"12",-0.244921408164532,0.521146350967881,0.136716300005373
"13",-0.403437456814282,0.0750707234536094,0.181298266009557
"14",-0.323067103434665,0.0236239243669236,0.178795877969893
"15",-0.0261145867700942,0.798496747335876,0.00527523643145927
"16",-0.0344562814595072,0.789120125216954,0.0897669013299907
"17",-0.145821287290624,0.587617660569453,0.0849106760697803
"18",-0.00523168657134437,0.664413672009767,0.199552553695939
"19",-0.127637020484099,0.620242400689057,0.153325671116713
"20",0.0396316928218276,0.29056442300881,0.655003733168942
"21",0.0551935007010664,0.21001063795255,0.723512144806742
"22",0.137078803186908,0.127046208509087,0.799728110706128
"23",0.0477872602104281,0.334181127735736,0.375898702334529
"24",0.119474888461851,0.299788859302091,0.369602459228352
"25",0.0556804610472875,0.28698391394953,0.337622071589131
"26",0.509311012665111,-0.105373041131383,0.0255556859631487
"27",0.55651821795883,-0.0981101851351227,0.0839901253163029
"28",0.603900694964425,-0.0418922716733061,0.0783750484769997
"29",-0.053636168816159,0.520414720068685,0.079694529259105
"30",-0.116895451305454,0.479900477095723,0.0797047133193525
"31",0.661491096083507,-0.107712199616184,0.0131726574764908
"32",0.701851092303562,0.167864584796687,-0.0252455232799923
"33",0.736159540366522,0.000786724871042196,0.0163567459723485
"34",0.781308932104931,0.0703811477129761,-0.0679144165346398
"35",0.852232710595087,0.0440755580307469,0.0210075447516065
"36",0.812225125567493,-0.0349679952402572,0.160547424278585
"37",0.854088320620867,-0.0241198864115038,0.0928577178120599
"38",0.637255860087393,-0.216714941321682,0.0537943832862493
"39",0.664563881411536,-0.17343823576365,0.0452405945788263
"40",0.816882917952409,-0.108167162519996,0.0809430529243313
"41",0.711064398510173,-0.0900948454024117,0.0341337680066867
"42",0.798721757157509,-0.0194968690321505,0.0489523387111985
"43",0.563338171767544,-0.102744734839138,0.0904766761058708
"44",0.609134807749091,0.00957065689684824,-0.0440118351535913
"45",0.618741634509647,-0.0429950483778059,0.0451099162545132
"46",0.702212340533436,-0.00315120013974222,0.0188302997715781
"47",0.504274096466405,0.267280378682879,-0.458296510027147
"48",-0.139777110176243,0.252573657547267,0.0813407072696231
"49",-0.285331543390172,0.252270750062256,-0.0160255970087078
"50",-0.114600204834495,0.0492770506309453,0.625733472691753
"51",-0.0731706925399475,-0.051365604898755,0.747203346834698
"52",-0.40474115410672,0.147713952687311,0.208961205190907
"53",0.806899672874826,0.0670911209857049,-0.0666742938568901
"54",0.820745665232456,0.0310847885765048,-0.0387084237294405
"55",0.598704521900343,0.298271790189647,-0.414465891621352
"56",0.858590395367028,0.14246443326418,-0.122147173381232
"57",0.652922051611526,0.0166442440683773,0.000647048324166469
"58",0.819196703360675,-0.0697005360579582,-0.0283656814049089
"59",0.660365939644427,-0.122941536116274,-0.102280116115728
"60",0.828143055019485,-0.0576051452996079,-0.00542934492226815
