,test.test,test.X2,test.df,test.p.value,uni.lhs,uni.op,uni.rhs,uni.X2,uni.df,uni.p.value
113,score,6055.115484,174,0,.p116.,==,.p605.,24.35100314,1,8.03E-07
114,score,6055.115484,174,0,.p117.,==,.p606.,53.95600735,1,2.05E-13
115,score,6055.115484,174,0,.p118.,==,.p607.,219.8106298,1,0
116,score,6055.115484,174,0,.p119.,==,.p608.,24.36128337,1,7.99E-07
117,score,6055.115484,174,0,.p121.,==,.p610.,293.7943226,1,0
118,score,6055.115484,174,0,.p122.,==,.p611.,142.577173,1,0
119,score,6055.115484,174,0,.p123.,==,.p612.,340.2317408,1,0
120,score,6055.115484,174,0,.p124.,==,.p613.,158.6963121,1,0
121,score,6055.115484,174,0,.p125.,==,.p614.,7.464577439,1,0.00629248
122,score,6055.115484,174,0,.p126.,==,.p615.,184.399381,1,0
123,score,6055.115484,174,0,.p127.,==,.p616.,43.06301036,1,5.30E-11
124,score,6055.115484,174,0,.p128.,==,.p617.,4.211674119,1,0.040146696
125,score,6055.115484,174,0,.p129.,==,.p618.,8.957469665,1,0.002763374
126,score,6055.115484,174,0,.p130.,==,.p619.,25.9671174,1,3.47E-07
127,score,6055.115484,174,0,.p131.,==,.p620.,76.49204761,1,0
128,score,6055.115484,174,0,.p132.,==,.p621.,31.74186271,1,1.76E-08
129,score,6055.115484,174,0,.p133.,==,.p622.,0.030565892,1,0.8612124
130,score,6055.115484,174,0,.p134.,==,.p623.,13.50000406,1,0.000238563
131,score,6055.115484,174,0,.p136.,==,.p625.,10.29021585,1,0.001337374
132,score,6055.115484,174,0,.p137.,==,.p626.,78.05999396,1,0
133,score,6055.115484,174,0,.p138.,==,.p627.,1.010957155,1,0.314673643
134,score,6055.115484,174,0,.p139.,==,.p628.,0.037820297,1,0.845804429
135,score,6055.115484,174,0,.p140.,==,.p629.,211.3225413,1,0
136,score,6055.115484,174,0,.p141.,==,.p630.,60.38990652,1,7.77E-15
137,score,6055.115484,174,0,.p142.,==,.p631.,5.736272314,1,0.016618025
138,score,6055.115484,174,0,.p143.,==,.p632.,14.29718948,1,0.000156098
139,score,6055.115484,174,0,.p144.,==,.p633.,115.9385951,1,0
140,score,6055.115484,174,0,.p145.,==,.p634.,171.8660777,1,0
141,score,6055.115484,174,0,.p146.,==,.p635.,141.734251,1,0
142,score,6055.115484,174,0,.p147.,==,.p636.,64.39957385,1,9.99E-16
143,score,6055.115484,174,0,.p148.,==,.p637.,115.8418298,1,0
144,score,6055.115484,174,0,.p149.,==,.p638.,81.17009063,1,0
145,score,6055.115484,174,0,.p150.,==,.p639.,54.48724394,1,1.56E-13
146,score,6055.115484,174,0,.p151.,==,.p640.,0.472372263,1,0.491897836
147,score,6055.115484,174,0,.p152.,==,.p641.,246.9299039,1,0
148,score,6055.115484,174,0,.p153.,==,.p642.,18.76748495,1,1.48E-05
149,score,6055.115484,174,0,.p154.,==,.p643.,2.587359623,1,0.107719773
150,score,6055.115484,174,0,.p155.,==,.p644.,0.548146767,1,0.459075914
151,score,6055.115484,174,0,.p156.,==,.p645.,3.70875445,1,0.054127769
152,score,6055.115484,174,0,.p157.,==,.p646.,11.91275618,1,0.000557509
153,score,6055.115484,174,0,.p158.,==,.p647.,54.72341663,1,1.39E-13
154,score,6055.115484,174,0,.p159.,==,.p648.,6.84725848,1,0.00887774
155,score,6055.115484,174,0,.p160.,==,.p649.,95.25153964,1,0
156,score,6055.115484,174,0,.p161.,==,.p650.,59.77247013,1,1.07E-14
157,score,6055.115484,174,0,.p162.,==,.p651.,13.25573652,1,0.000271747
158,score,6055.115484,174,0,.p163.,==,.p652.,268.0845864,1,0
159,score,6055.115484,174,0,.p164.,==,.p653.,25.93593344,1,3.53E-07
160,score,6055.115484,174,0,.p165.,==,.p654.,126.3018132,1,0
161,score,6055.115484,174,0,.p166.,==,.p655.,155.6578721,1,0
162,score,6055.115484,174,0,.p167.,==,.p656.,26.30153631,1,2.92E-07
163,score,6055.115484,174,0,.p168.,==,.p657.,215.1294108,1,0
164,score,6055.115484,174,0,.p169.,==,.p658.,89.54351507,1,0
165,score,6055.115484,174,0,.p170.,==,.p659.,9.853338561,1,0.001695238
166,score,6055.115484,174,0,.p171.,==,.p660.,9.450619272,1,0.002110778
167,score,6055.115484,174,0,.p172.,==,.p661.,8.603170131,1,0.003355784
168,score,6055.115484,174,0,.p173.,==,.p662.,5.415651315,1,0.019957007
169,score,6055.115484,174,0,.p174.,==,.p663.,11.89011019,1,0.000564328
170,score,6055.115484,174,0,.p175.,==,.p664.,6.753882366,1,0.009354392
171,score,6055.115484,174,0,.p176.,==,.p665.,31.01972513,1,2.55E-08
172,score,6055.115484,174,0,.p177.,==,.p666.,39.01624775,1,4.20E-10
173,score,6055.115484,174,0,.p178.,==,.p667.,223.3710374,1,0
174,score,6055.115484,174,0,.p179.,==,.p668.,28.53158937,1,9.22E-08
