"","Estimate","Standardized","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.00699007721017,0,0.050156984956152,40.0141690925942,1.61630551489819e-196
"change_dsym_sum",-0.0286786365965873,-0.167841818227072,0.00794279007271043,-3.61065020402848,0.000323600859502389
"change_ndsym_sum",-0.00445978887733889,-0.0239067293015832,0.00781629722048618,-0.570575651300717,0.568440466678259
"change_cope_r_sum",-0.0280574327991666,-0.0778236965050938,0.0139246168492337,-2.01495187285607,0.0442290016501031
"change_pmh_r_sum",-0.030200649832415,-0.189441828614665,0.00801703909024206,-3.76705782427502,0.000176751959493177
"change_fun_r_sum",0.000231192411686522,0.00115195780900309,0.00815731293408842,0.0283417362499846,0.97739634925472
"change_well_r_sum",-0.0518782705079234,-0.211010837223346,0.0119540234672627,-4.3398166859884,1.60029755265879e-05
