"","WLS1","WLS2","WLS3"
"rdqpost_1_1",-0.286788604520246,0.625543118798975,-0.0763456918465568
"rdqpost_2_1",-0.357201355536111,0.517720174538215,-0.0597617715515933
"rdqpost_3_1",-0.410528128152658,0.489401452999696,-0.0720064549782707
"rdqpost_4_1",-0.0509008560655449,0.525189872161227,-0.055226826717511
"rdqpost_5_1",0.0902379727657776,0.18164948333635,0.140379522462861
"rdqpost_6_1",-0.0455714259416034,0.498662532792602,-0.0111421989498063
"rdqpost_7_1",-0.157270700576863,0.211947755370252,-0.000903533318582478
"rdqpost_8_1",-0.283763237516267,0.556334891606389,-0.107722787978881
"rdqpost_9_1",-0.0701135049757926,0.692928332120089,0.00564968409849663
"rdqpost_10_1",-0.254814858145332,0.615983410144117,-0.00340368226313284
"rdqpost_11_1",-0.105675900267642,0.719283212320883,-0.0294084576909236
"rdqpost_12_1",-0.15180237550848,0.679231249474218,0.00286795457383483
"rdqpost_13_1",-0.243031701200016,0.52338080014297,-0.0582459842635623
"rdqpost_14_1",-0.141853134332468,0.513119779318824,-0.0450883506755559
"rdqpost_15_1",0.024731844755411,0.816244634364389,-0.0915905556814543
"rdqpost_16_1",-0.0427797503059568,0.803180216298541,-0.0311262549772137
"rdqpost_17_1",-0.119939466080167,0.704929834694476,-0.00897272861038936
"rdqpost_18_1",0.0369173304610556,0.837107831250596,-0.0124011494132571
"rdqpost_19_1",-0.0809581787364735,0.747602621844371,0.0155462796566253
"rdqpost_20_1",0.0488482734643336,0.711582358748714,0.255848887197594
"rdqpost_21_1",0.0243346738153389,0.687775258617596,0.296681941605281
"rdqpost_22_1",0.123517813574371,0.598306459269012,0.407128014756694
"rdqpost_23_1",0.137340611482318,0.68873202591568,0.0816238793637368
"rdqpost_24_1",0.167357562992292,0.673751250828047,0.0393317726800861
"rdqpost_25_1",0.125586046599961,0.694083870006874,0.006818322226711
"rdqpost_26_1",0.679795431395542,0.0100680963545715,-0.13684676375072
"rdqpost_27_1",0.717047725703789,0.0622011283932666,-0.0828927820857282
"rdqpost_28_1",0.629254780122524,-0.0837668928180833,-0.0166820478983096
"rdqpost_29_1",-0.0766275471312371,0.588072848352425,0.173242697461564
"rdqpost_30_1",-0.129341871983532,0.547191537273859,0.171159250374023
"rdqpost_31_1",0.693760325439093,-0.114089512849851,0.0284285545173429
"rdqpost_32_1",0.851063004949207,0.10306546759351,0.016467839582642
"rdqpost_33_1",0.811681070151406,0.00818571484963955,-0.0268912561609076
"rdqpost_34_1",0.79674943676892,-0.0628717410852343,0.0744479193508978
"rdqpost_35_1",0.847593740819175,-0.0561800123138581,0.0793283031456873
"rdqpost_36_1",0.80171001678979,-0.0694135597465167,0.219008500946091
"rdqpost_37_1",0.824804189979866,-0.0853670942281911,0.166465090819262
"rdqpost_38_1",0.588539695973333,-0.247635268004664,0.113165981590678
"rdqpost_39_1",0.610515658907964,-0.244183312565164,0.0916309686751076
"rdqpost_40_1",0.780785529615719,-0.12468177967425,0.142634897238379
"rdqpost_41_1",0.609077851248047,-0.211575209446055,0.152894365391208
"rdqpost_42_1",0.843833044958299,-0.0438401563495665,0.0610569943252706
"rdqpost_43_1",0.705841368814192,-0.00205400719792871,-0.128086351743206
"rdqpost_44_1",0.722307265805628,0.0420884047291404,-0.0839494699590849
"rdqpost_45_1",0.765256406439108,0.0599480419231147,-0.144557995397949
"rdqpost_46_1",0.833220267986245,0.057350917813322,-0.107887644383157
"rdqpost_47_1",0.679568872615617,0.0784971360679786,-0.368405867185308
"rdqpost_48_1",-0.220348978277394,0.250684098983626,0.324312444260656
"rdqpost_49_1",-0.311776996027573,0.201644702506033,0.253394903240164
"rdqpost_50_1",-0.198531101012777,0.304191871040743,0.59942021713926
"rdqpost_51_1",-0.118207281188893,0.291988659470359,0.661306812683949
"rdqpost_52_1",-0.392510116717654,0.264009695731567,0.255100775511413
"rdqpost_53_1",0.878207571708789,0.0194224325374032,0.00207624104244522
"rdqpost_54_1",0.868304137964672,0.0223733436990105,-0.0638430464002458
"rdqpost_55_1",0.730328430409537,0.0933056169939125,-0.278381688345834
"rdqpost_56_1",0.904094741528107,0.048446380463818,-0.0347864505280849
"rdqpost_57_1",0.746232128684917,0.030306472141345,-0.0716086212821546
"rdqpost_58_1",0.78051303068667,-0.137184190390221,0.0106899813006963
"rdqpost_59_1",0.682633572665642,-0.183317354138764,-0.0518013035844748
"rdqpost_60_1",0.852165340188058,-0.066692880215239,0.0023784589539924
