,ndsym,cope,pmh,fun,well
both,85.8% (366),86.0% (335),89.1% (375),87.1% (317),86.8% (393)
dep,76.1% (117),77.7% (148),63.9% (108),76.5% (166),68.9% (90)
other,50.7% (71),65.7% (108),69.7% (99),67.4% (89),76.2% (126)
none,44.8% (290),37.5% (253),37.0% (262),39.0% (272),29.8% (235)
